语言,推荐问文案,分类,图标标识,权重,状态,开始时间,结束时间
zh-CN,AIx脑科学圆桌Panel上，有没有讨论到AI在脑疾病诊断/治疗上的实际应用前景？,6,,50,上架,2026.08.25 21:15,2026.09.10 23:59
zh-CN,AIx脑科学圆桌Panel上，关于脑机接口的伦理或安全问题，有嘉宾提出担忧吗？,6,,50,上架,2026.08.25 21:15,2026.09.10 23:59
zh-CN,总结一下智源学者学术研讨会上的世界模型圆桌。,6,,200,上架,2026.08.27 16:45,2026.09.10 23:59
zh-CN,"智源学者学术研讨会上，魏云超老师怎么定义""世界模型""的？",6,,50,上架,2026.08.27 16:45,2026.09.10 23:59
zh-CN,智源学者学术研讨会上，唐浩老师对数据来源这个问题是怎么看的？,6,,50,上架,2026.08.27 16:45,2026.09.10 23:59
zh-CN,智源学者学术研讨会上，盛律老师提到的Scaling瓶颈具体指什么？,6,,50,上架,2026.08.27 16:45,2026.09.10 23:59
zh-CN,智源学者学术研讨会上，李浩然老师举了哪些例子来说明他的观点？,6,,50,上架,2026.08.27 16:45,2026.09.10 23:59
zh-CN,"智源学者学术研讨会上，崔森老师对""ChatGPT Moment""的判断是什么？",6,,50,上架,2026.08.27 16:45,2026.09.10 23:59
zh-CN,智源学者学术研讨会上，哪位嘉宾的观点最激进、哪位嘉宾最保守？,6,,50,上架,2026.08.27 16:45,2026.09.10 23:59
zh-CN,智源学者学术研讨会上，几位嘉宾对世界模型达成了什么共识？,6,,50,上架,2026.08.27 16:45,2026.09.10 23:59
zh-CN,智源学者学术研讨会上，世界模型的圆桌里哪个问题争议最大？,6,,50,上架,2026.08.27 16:45,2026.09.10 23:59
zh-CN,"智源学者学术研讨会上，世界模型""范式之争""这部分嘉宾都说了什么？",6,,50,上架,2026.08.27 16:45,2026.09.10 23:59
zh-CN,"智源学者学术研讨会上，世界模型下一个""GPT-3时刻""缺的到底是什么，嘉宾们分别怎么回答的？",6,,50,上架,2026.08.27 16:45,2026.09.10 23:59
zh-CN,"智源学者学术研讨会上，关于""世界模型该吃什么数据""有什么结论？",6,,50,上架,2026.08.27 16:45,2026.09.10 23:59
zh-CN,总结一下智源学者学术研讨会的灵巧操作圆桌。,6,,200,上架,2026.08.27 17:30,2026.09.10 23:59
zh-CN,智源学者学术研讨会上，崔少伟老师怎么评价现在灵巧操作和人类水平的差距？,6,,50,上架,2026.08.27 18:15,2026.09.10 23:59
zh-CN,智源学者学术研讨会上，眭亚楠老师支持专用小模型还是通用大模型？他的理由是什么？,6,,50,上架,2026.08.27 18:15,2026.09.10 23:59
zh-CN,"智源学者学术研讨会上，王党校老师对""分层 vs 端到端""这个问题的看法是什么？",6,,50,上架,2026.08.27 18:15,2026.09.10 23:59
zh-CN,智源学者学术研讨会上，佳明老师提到本体设计上有什么独特观点吗？,6,,50,上架,2026.08.27 18:15,2026.09.10 23:59
zh-CN,"智源学者学术研讨会上，嘉宾们在""要不要用低自由度手""这件事上意见一致吗？",6,,50,上架,2026.08.27 18:15,2026.09.10 23:59
zh-CN,智源学者学术研讨会上，灵巧操作圆桌关于触觉是不是必要的，几位嘉宾有分歧吗？,6,,50,上架,2026.08.27 18:15,2026.09.10 23:59
zh-CN,智源学者学术研讨会上，灵巧操作圆桌里最有争议的话题是哪个？,6,,50,上架,2026.08.27 18:15,2026.09.10 23:59
zh-CN,智源学者学术研讨会上，三指手在灵巧操作圆桌里被怎么评价的？,6,,50,上架,2026.08.27 18:15,2026.09.10 23:59
zh-CN,"智源学者学术研讨会上，灵巧操作圆桌关于""是否要融入专家经验""，正反两方的理由分别是什么？",6,,50,上架,2026.08.27 18:15,2026.09.10 23:59
zh-CN,总结一下智源学者学术研讨会的具身智能圆桌。,6,,200,上架,2026.08.27 18:15,2026.09.10 23:59
zh-CN,智源学者学术研讨会上，刘淼老师对具身智能行业前景的判断是什么？,6,,50,上架,2026.08.27 18:15,2026.09.10 23:59
zh-CN,智源学者学术研讨会上，刘艾杉老师提到了哪些具身的落地场景？,6,,50,上架,2026.08.27 18:15,2026.09.10 23:59
zh-CN,智源学者学术研讨会上，陈文拯老师怎么看具身智能现在的商业化进度？,6,,50,上架,2026.08.27 18:15,2026.09.10 23:59
zh-CN,智源学者学术研讨会上，于智薇提到的具身最大挑战/瓶颈是什么？,6,,50,上架,2026.08.27 18:15,2026.09.10 23:59
zh-CN,"智源学者学术研讨会上，几位嘉宾对""具身智能什么时候能规模化商业落地""的判断一致吗？",6,,50,上架,2026.08.27 18:15,2026.09.10 23:59
zh-CN,智源学者学术研讨会上，关于具身智能最有前景的落地场景，嘉宾之间有分歧吗？,6,,50,上架,2026.08.27 18:15,2026.09.10 23:59
zh-CN,智源学者学术研讨会上，具身智能圆桌里有没有出现观点交锋比较激烈的时刻？,6,,50,上架,2026.08.27 18:15,2026.09.10 23:59
zh-CN,智源学者学术研讨会上，嘉宾们提到的具身智能行业最大风险/最大机会分别是什么？,6,,50,上架,2026.08.27 18:15,2026.09.10 23:59
zh-CN,智源学者学术研讨会上，关于具身智能的核心壁垒，嘉宾们的看法一致吗？,6,,50,上架,2026.08.27 18:15,2026.09.10 23:59
